,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,2,3,0,6,4,0,0,0,0,0,4,0.1,0.95,0.95,1.0,0.0,0.0,1.0,1.0
1,6,4,10,10,4,0,1,0,0,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2,2,5,8,8,1,1,0,0,0,0,4,0.95,0.8,1.0,0.0,0.0,0.0,1.0,1.0
3,5,9,6,0,9,0,0,0,0,0,0,0.85,1.0,0.05,0.0,0.0,1.0,1.0,1.0
4,9,0,8,9,3,1,0,0,1,0,3,1.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0
5,1,5,10,0,9,0,1,1,1,1,2,0.85,1.0,0.65,0.0,0.0,1.0,0.0,1.0
6,0,9,6,7,9,0,0,0,1,1,3,0.45,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7,7,7,0,0,6,1,1,0,1,1,3,0.45,1.0,0.7,0.0,0.0,1.0,0.0,1.0
8,4,9,7,4,3,1,0,0,0,0,2,0.95,0.9,0.9,0.0,0.0,0.0,1.0,1.0
9,6,1,8,0,0,1,1,1,1,0,3,1.0,0.75,0.6,0.0,1.0,1.0,0.0,1.0
10,0,4,9,3,4,1,1,1,1,1,3,0.95,1.0,0.95,1.0,0.0,0.0,0.0,1.0
11,1,0,5,7,3,1,0,0,0,0,2,0.75,0.6,1.0,0.0,1.0,0.0,1.0,1.0
12,9,4,10,0,6,1,1,0,1,0,3,1.0,1.0,0.6,0.0,0.0,1.0,0.0,1.0
13,9,1,7,8,1,1,0,0,0,0,3,1.0,0.65,1.0,0.0,0.0,0.0,1.0,1.0
14,7,0,0,2,2,0,0,1,0,0,2,0.35,0.65,0.7,0.0,1.0,0.0,1.0,1.0
15,4,7,3,5,9,0,0,0,0,0,1,0.55,1.0,0.9,0.0,0.0,0.0,1.0,1.0
16,3,0,9,7,6,0,1,1,1,1,2,0.95,0.8,1.0,0.0,1.0,0.0,0.0,1.0
17,6,3,5,10,4,0,0,0,0,0,4,0.9,0.95,1.0,0.0,0.0,0.0,1.0,1.0
18,0,4,5,4,0,0,0,0,0,0,3,0.45,0.65,0.95,1.0,0.0,0.0,1.0,1.0
