,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,1,2,6,9,5,0,0,0,1,0,3,0.45,0.3,1.0,1.0,1.0,0.0,1.0,1.0
1,4,2,9,2,4,1,0,1,1,1,3,0.95,0.3,0.55,1.0,1.0,1.0,1.0,1.0
2,5,10,10,2,9,1,0,1,1,0,3,0.95,1.0,0.5,0.0,0.0,1.0,1.0,1.0
3,9,2,8,2,5,1,0,1,1,1,4,1.0,0.45,0.55,0.0,1.0,1.0,1.0,1.0
4,4,3,7,10,3,1,1,1,1,1,1,0.9,0.35,1.0,1.0,1.0,0.0,0.0,1.0
5,4,5,9,2,6,1,1,1,1,1,2,0.95,0.75,0.55,1.0,0.0,1.0,0.0,1.0
6,6,2,9,7,5,1,1,1,1,0,2,1.0,0.45,0.95,0.0,1.0,0.0,1.0,1.0
7,7,7,9,2,9,1,0,1,1,1,4,1.0,0.95,0.55,0.0,0.0,1.0,1.0,1.0
8,2,1,9,10,4,1,1,1,1,0,3,0.95,0.2,1.0,1.0,1.0,0.0,1.0,1.0
9,7,9,9,1,10,1,1,1,1,0,0,1.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0
10,3,9,7,2,8,1,0,0,1,1,4,0.85,1.0,0.55,1.0,0.0,1.0,1.0,1.0
11,4,2,6,2,5,1,0,1,1,1,0,0.85,0.45,0.55,1.0,1.0,1.0,1.0,1.0
12,6,8,9,10,10,1,1,1,1,0,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
13,7,3,9,10,3,1,0,1,1,1,2,1.0,0.35,1.0,0.0,1.0,0.0,1.0,1.0
14,5,2,6,5,5,1,0,1,1,1,3,0.85,0.45,0.9,1.0,1.0,0.0,1.0,1.0
15,3,8,10,1,9,1,0,1,1,1,3,0.95,1.0,0.3,1.0,0.0,1.0,1.0,1.0
16,4,3,9,2,10,1,0,1,1,0,4,0.95,0.65,0.5,1.0,0.0,1.0,1.0,1.0
17,5,7,7,2,8,1,0,1,1,1,2,0.9,0.95,0.55,1.0,0.0,1.0,1.0,1.0
18,2,2,6,10,5,1,1,1,1,1,0,0.85,0.45,1.0,1.0,1.0,0.0,0.0,1.0
19,5,3,7,6,3,1,0,1,1,1,1,0.9,0.35,0.95,1.0,1.0,0.0,1.0,1.0
20,3,2,8,2,5,1,1,1,1,0,1,0.95,0.45,0.5,1.0,1.0,1.0,1.0,1.0
21,4,2,9,5,5,1,1,1,1,0,3,0.95,0.45,0.85,1.0,1.0,0.0,1.0,1.0
22,9,10,9,1,9,0,1,1,1,1,3,1.0,1.0,0.3,0.0,0.0,1.0,0.0,1.0
23,7,2,8,10,5,0,1,1,1,0,2,0.95,0.45,1.0,0.0,1.0,0.0,1.0,1.0
24,4,3,9,2,6,1,0,1,1,1,0,0.95,0.6,0.55,1.0,0.0,1.0,1.0,1.0
25,3,8,9,10,10,1,1,1,1,0,3,0.95,1.0,1.0,1.0,0.0,0.0,1.0,1.0
26,3,1,6,10,6,1,1,1,1,0,1,0.85,0.25,1.0,1.0,1.0,0.0,1.0,1.0
