,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,9,7,6,9,0,1,0,0,1,0,0,0.82,0.03,0.99,0.0,1.0,0.0,1.0,1.0
1,3,2,7,6,1,1,1,0,0,1,0,0.85,0.01,0.87,1.0,1.0,0.0,0.0,1.0
2,0,2,3,10,4,0,1,0,1,1,0,0.19,0.16,1.0,1.0,1.0,0.0,0.0,1.0
3,8,7,8,1,1,0,1,1,0,0,2,0.95,0.02,0.07,0.0,0.0,1.0,1.0,1.0
4,3,10,9,1,10,1,0,0,1,1,1,0.88,0.97,0.24,1.0,0.0,1.0,1.0,1.0
5,2,1,10,2,1,0,1,1,0,1,1,0.8,0.01,0.37,1.0,1.0,1.0,1.0,1.0
6,7,0,5,7,8,1,1,1,1,0,3,0.83,0.02,0.92,0.0,1.0,0.0,1.0,1.0
7,9,9,4,10,9,1,1,1,0,0,1,0.68,0.93,0.99,0.0,0.0,0.0,1.0,1.0
8,2,8,6,6,9,0,1,0,0,1,1,0.67,0.89,0.87,1.0,0.0,0.0,1.0,1.0
9,7,0,8,6,10,1,0,1,1,0,3,0.96,0.02,0.87,0.0,1.0,0.0,1.0,1.0
10,9,8,9,6,6,0,0,1,0,0,0,0.97,0.73,0.83,0.0,0.0,0.0,1.0,1.0
11,7,1,0,8,5,1,0,0,0,0,0,0.0,0.06,0.94,1.0,1.0,0.0,1.0,1.0
12,9,0,2,2,1,0,0,1,1,0,4,0.38,0.01,0.39,0.0,1.0,1.0,1.0,1.0
13,3,10,0,9,10,0,1,1,0,1,4,0.03,0.96,0.99,1.0,0.0,0.0,1.0,1.0
14,8,7,5,2,10,0,0,1,1,0,4,0.83,0.93,0.39,0.0,0.0,1.0,1.0,1.0
15,2,9,8,10,9,0,0,1,1,1,3,0.58,0.95,1.0,1.0,0.0,0.0,1.0,1.0
16,6,3,0,1,2,1,1,0,1,0,3,0.01,0.14,0.13,1.0,1.0,1.0,1.0,1.0
17,4,0,4,8,5,0,1,0,0,0,4,0.46,0.0,0.94,1.0,1.0,0.0,1.0,1.0
18,3,2,6,5,2,1,1,1,1,0,2,0.85,0.11,0.81,1.0,1.0,0.0,1.0,1.0
19,4,6,8,5,0,0,0,0,1,1,3,0.8,0.03,0.84,1.0,1.0,0.0,1.0,1.0
20,2,5,2,8,0,0,1,0,1,0,0,0.15,0.03,0.97,1.0,1.0,0.0,1.0,1.0
21,4,10,2,2,1,1,1,1,1,0,4,0.38,0.1,0.39,1.0,0.0,1.0,1.0,1.0
22,4,10,8,9,4,1,1,1,1,0,2,0.95,0.67,0.99,1.0,0.0,0.0,1.0,1.0
23,10,5,6,9,7,1,0,0,1,0,0,0.82,0.69,0.99,0.0,0.0,0.0,1.0,1.0
24,2,8,2,2,1,1,1,0,1,1,0,0.23,0.1,0.44,1.0,0.0,1.0,0.0,1.0
25,5,8,0,2,10,1,1,1,0,1,3,0.04,0.93,0.37,1.0,0.0,1.0,0.0,1.0
